index,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,genre,duration_mins
1843,0,2002,0,0.855,0.681,2,-4.955,1,0.0688,0.0881,3.7e-06,0.908,"hip hop, pop, R&B",3.72
1844,0,2008,1,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.575,"hip hop, pop, R&B",4.6
1845,0,2003,0,0.368,0.426,10,-8.049,1,0.0277,0.255,5.39e-06,0.208,pop,3.89
1846,0,2013,0,0.555,0.729,7,-4.813,1,0.0387,0.00357,0,0.369,pop,3.81
1847,0,2014,1,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.51,"hip hop, pop, Dance/Electronic",3.07
1848,0,2001,0,0.729,0.731,4,-4.822,1,0.0684,0.232,1.57e-06,0.839,"rock, pop",5.05
1849,0,2001,0,0.616,0.597,8,-5.328,1,0.0415,0.691,0,0.362,"pop, latin",3.73
1850,0,2006,1,0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.349,"hip hop, pop, R&B",3.78
1851,1,2017,1,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.733,"hip hop, pop",3.9
1852,1,2001,0,0.757,0.706,8,-6.665,1,0.203,0.0267,0,0.375,hip hop,4.44
1853,0,2005,0,0.557,0.783,6,-4.893,0,0.234,0.0171,0.0172,0.442,"pop, Dance/Electronic",4.26
1854,0,2002,0,0.256,0.788,6,-5.263,0,0.0403,0.0298,0,0.429,"pop, rock",3.81
1855,0,2004,0,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.629,pop,4.32
1856,0,2014,0,0.69,0.845,9,-4.676,1,0.0339,0.0193,0,0.638,"pop, Dance/Electronic",3.74
1857,0,2009,1,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.411,rock,5.08
1858,1,2015,1,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.928,pop,4.49
1859,0,2018,1,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.555,latin,2.94
1860,0,2007,0,0.698,0.844,1,-4.789,1,0.0544,0.00253,0.000426,0.896,pop,3.66
1861,0,2004,0,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.632,"World/Traditional, rock",3.23
1862,0,2008,0,0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.11,"rock, pop",3.71
1863,0,2008,1,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.417,"rock, pop",4.04
1864,1,2019,0,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.428,"hip hop, Dance/Electronic",3.27
1865,1,2005,0,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.595,"hip hop, pop",2.99
1866,0,2015,1,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.672,"pop, R&B, Dance/Electronic",3.28
1867,0,2007,0,0.764,0.487,0,-6.734,1,0.0281,0.25,0,0.352,set(),4.36
1868,0,2013,1,0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.281,"pop, Dance/Electronic",4.88
1869,0,2015,1,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.613,"pop, Dance/Electronic",3.84
1870,0,2013,0,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.643,"pop, Dance/Electronic",4.12
1871,0,2008,0,0.524,0.878,5,-3.108,0,0.0346,0.0012,0,0.59,pop,3.32
1872,1,2013,0,0.794,0.777,1,-3.696,0,0.0813,0.0982,0,0.706,"hip hop, pop",2.88
1873,1,2018,1,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.395,"hip hop, pop",4.6
1874,0,2008,1,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.716,"rock, pop, Dance/Electronic",3.31
1875,1,2003,0,0.802,0.863,1,-3.552,1,0.2,0.0199,0,0.873,"hip hop, pop",3.66
1876,1,2003,0,0.513,0.826,10,-3.651,0,0.132,0.106,0,0.889,"hip hop, pop",4.42
1877,0,2011,1,0.696,0.893,9,-2.963,1,0.076,0.0662,0,0.573,"pop, Dance/Electronic",3.57
1878,0,2014,0,0.645,0.832,2,-5.595,1,0.0294,0.00106,0.00264,0.375,"pop, Dance/Electronic",3.14
1879,0,2001,0,0.443,0.769,2,-5.529,1,0.0312,0.00138,0,0.17,"rock, pop, metal",4.48
1880,0,2015,0,0.819,0.768,8,-8.522,1,0.134,0.234,0,0.964,hip hop,3.09
1881,0,2014,0,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.45,"hip hop, Dance/Electronic",3.47
1882,0,2009,0,0.625,0.699,0,-6.416,1,0.0729,0.13,0,0.717,set(),3.68
1883,0,2015,0,0.59,0.578,10,-5.798,0,0.0528,0.612,0.000162,0.264,"rock, classical",3.66
1884,0,2005,0,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.86,"hip hop, pop",3.55
1885,0,2005,1,0.84,0.476,0,-7.918,1,0.0629,0.0264,0,0.767,"pop, R&B",3.36
1886,0,2013,1,0.613,0.622,1,-5.794,0,0.0334,0.00882,0,0.484,pop,3.85
1887,0,2015,0,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.61,"pop, Dance/Electronic",3.71
1888,0,2016,1,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.352,pop,3.63
1889,1,2006,0,0.685,0.8,1,-6.564,1,0.298,0.0847,0,0.483,"hip hop, pop",3.93
1890,0,2011,1,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.6,"hip hop, pop, R&B",3.59
1891,0,2009,0,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.67,hip hop,4.49
1892,0,2010,0,0.901,0.805,6,-5.005,1,0.0464,0.0712,0.0812,0.737,Dance/Electronic,2.62
1893,0,2013,1,0.563,0.902,1,-4.586,0,0.402,0.0545,0,0.559,"hip hop, pop",3.8
1894,0,2010,1,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.653,"pop, Dance/Electronic",3.41
1895,0,2012,0,0.596,0.952,7,-4.364,1,0.0873,0.00131,0,0.571,"hip hop, pop, Dance/Electronic",3.91
1896,0,2017,0,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.678,rock,3.35
1897,0,2008,0,0.876,0.716,1,-6.884,1,0.135,0.0468,0.000482,0.755,"hip hop, Dance/Electronic",2.84
1898,0,2006,1,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.236,rock,5.19
1899,0,2013,0,0.704,0.68,7,-4.751,1,0.0581,0.0059,0,0.689,"pop, Dance/Electronic",3.68
1900,0,2002,0,0.686,0.698,5,-2.942,0,0.223,0.263,0,0.748,"hip hop, pop, R&B",4.22
1901,0,2015,1,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.793,pop,3.43
1902,0,2006,1,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.432,pop,7.48
1903,0,2006,1,0.537,0.674,5,-5.134,0,0.0277,0.0088,0,0.33,country,3.57
1904,0,2007,1,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.287,"rock, metal",3.43
1905,0,2012,1,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.888,pop,3.33
1906,0,2001,0,0.668,0.772,9,-5.4,0,0.0307,0.123,0,0.911,pop,4.02
1907,0,2008,0,0.775,0.641,1,-6.718,1,0.038,0.0327,0,0.305,"hip hop, pop, R&B",4.05
1908,1,2006,0,0.551,0.81,11,-4.365,1,0.0344,0.0155,0,0.332,"hip hop, pop",4.57
1909,1,2006,0,0.551,0.81,11,-4.365,0,0.0407,0.000665,7.74e-06,0.841,"World/Traditional, rock, pop",4.57
1910,0,2010,0,0.55,0.753,6,-4.003,1,0.0344,0.0155,0,0.332,"hip hop, pop",3.16
1911,0,2010,0,0.55,0.753,6,-4.003,0,0.0407,0.000665,7.74e-06,0.841,"World/Traditional, rock, pop",3.16
1912,0,2004,0,0.676,0.948,5,-2.557,1,0.0628,0.0509,8.19e-06,0.731,"pop, R&B",3.69
1913,0,2011,1,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.877,pop,3.68
1914,1,2000,0,0.879,0.681,10,-8.951,0,0.24,0.017,0,0.817,"hip hop, pop, R&B",3.69
1915,0,2008,0,0.733,0.9,9,-4.758,1,0.0341,0.0085,0.0218,0.937,Dance/Electronic,3.46
1916,0,2006,0,0.42,0.742,7,-5.665,1,0.0375,0.142,0,0.294,pop,4.08
1917,1,2001,1,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.919,"hip hop, pop",4.45
1918,0,2010,1,0.692,0.786,2,-2.959,1,0.069,0.23,0,0.583,"hip hop, pop, R&B",4.39
1919,0,2009,0,0.438,0.672,11,-4.706,0,0.0429,0.0055,0,0.457,pop,3.79
1920,0,2010,1,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.711,"hip hop, pop",3.69
1921,0,2017,1,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.556,rock,3.35
1922,1,2008,1,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.467,"hip hop, pop",4.16
1923,0,2008,1,0.671,0.685,11,-5.762,0,0.05,0.00165,0,0.368,"pop, R&B",4.09
1924,0,2012,1,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.387,pop,3.56
1925,0,2002,1,0.53,0.768,7,-5.611,1,0.0284,0.00385,0,0.374,"pop, rock, metal",4.34
1926,0,2002,1,0.53,0.768,7,-5.611,0,0.352,0.0553,0,0.75,hip hop,4.34
1927,1,2005,1,0.618,0.746,10,-5.476,1,0.0284,0.00385,0,0.374,"pop, rock, metal",4.69
1928,1,2005,1,0.618,0.746,10,-5.476,0,0.352,0.0553,0,0.75,hip hop,4.69
1929,0,2010,1,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.498,"hip hop, pop, Dance/Electronic",3.18
