artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Nelly Furtado,Turn Off The Light,276106,FALSE,2000,1,0.587,0.679,2
The Supermen Lovers,Starlight - Radio Edit,234400,FALSE,2001,61,0.739,0.679,0
Mis-Teeq,All I Want - Sunship Radio Edit,207400,FALSE,2004,46,0.795,0.919,9
Jagged Edge,Promise,246720,FALSE,2000,56,0.751,0.568,5
S Club 7,Have You Ever,201533,FALSE,2001,60,0.585,0.702,0
Enya,Only Time,218546,FALSE,2000,69,0.418,0.249,3
Faith Hill,There You'll Be,222120,FALSE,2001,60,0.321,0.511,8
Ronan Keating,Lovin' Each Day,212973,FALSE,2000,58,0.541,0.899,1
Destiny's Child,Bootylicious,207906,FALSE,2001,64,0.84,0.835,1
Steps,It's the Way You Make Me Feel,197360,FALSE,2000,53,0.573,0.665,8
Sunshine Anderson,Heard It All Before,295826,FALSE,2001,56,0.697,0.925,3
Lenny Kravitz,Again,231666,FALSE,2000,68,0.55,0.804,2
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,FALSE,2002,46,0.836,0.762,7
DB Boulevard,Point Of View - Radio Edit,231166,FALSE,2018,0,0.676,0.715,6
Janet Jackson,All For You,329933,FALSE,2001,65,0.753,0.934,2
Atomic Kitten,Whole Again,185013,FALSE,2001,66,0.747,0.706,4
Ja Rule,Livin' It Up,257066,FALSE,2001,64,0.874,0.768,6
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,0.73,0.602,6
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,FALSE,2001,54,0.847,0.877,2
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,TRUE,2001,66,0.708,0.587,11
Musiq Soulchild,Love,304666,FALSE,2000,0,0.569,0.385,1
So Solid Crew,21 Seconds,302826,TRUE,2001,51,0.607,0.637,1
Robbie Williams,Eternity,302760,FALSE,2001,48,0.469,0.316,10
Basement Jaxx,Romeo,217493,FALSE,2001,0,0.713,0.829,2
Ludacris,Southern Hospitality (Featuring Pharrell),300933,TRUE,2000,54,0.623,0.896,0
Gabrielle,Rise,219093,FALSE,2001,60,0.558,0.481,8
Nelly,Ride Wit Me,291781,TRUE,2000,75,0.85,0.7,7
Trick Daddy,I'm a Thug,254400,TRUE,2001,59,0.933,0.561,11
Travis,Sing,228800,FALSE,2001,68,0.33,0.905,4
JAY-Z,Izzo (H.O.V.A.),240626,TRUE,2001,63,0.618,0.844,1
Gabrielle,Out Of Reach,196986,FALSE,2001,69,0.51,0.48,11
OPM,Heaven Is a Halfpipe (If I Die),257426,TRUE,2000,56,0.743,0.894,8
K-Ci & JoJo,Crazy,262773,FALSE,2019,30,0.68,0.644,0
Staind,It's Been Awhile,264706,TRUE,2001,64,0.509,0.774,6
3LW,No More (Baby I'ma Do Right),263440,FALSE,2000,56,0.721,0.723,2
Ginuwine,Differences,265533,FALSE,2001,65,0.562,0.594,3
*NSYNC,Gone,292000,FALSE,2001,45,0.699,0.403,11
Lifehouse,Hanging By A Moment,216360,FALSE,2000,61,0.537,0.858,1
Nelly,Dilemma,289160,TRUE,2002,77,0.727,0.552,2
Eminem,Without Me,290320,TRUE,2002,87,0.908,0.669,7
Avril Lavigne,Complicated,244506,FALSE,2002,78,0.585,0.776,5
Vanessa Carlton,A Thousand Miles,237493,FALSE,2002,75,0.56,0.825,11
The Calling,Wherever You Will Go,208600,FALSE,2001,72,0.558,0.719,2
Shakira,Underneath Your Clothes,224066,FALSE,2001,64,0.616,0.597,8
No Doubt,Underneath It All,302720,FALSE,2001,27,0.729,0.731,4
Truth Hurts,Addictive,226440,TRUE,2002,58,0.701,0.677,11
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,0.648,0.759,6
Eminem,'Till I Collapse,297786,TRUE,2002,85,0.548,0.847,1
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,FALSE,2004,69,0.713,0.471,1
Christina Milian,When You Look At Me - Radio Edit,222546,FALSE,2001,60,0.955,0.839,3
Madonna,Die Another Day,276360,FALSE,2003,53,0.792,0.797,0
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,FALSE,2002,53,0.718,0.69,10
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,FALSE,2019,40,0.583,0.643,9
Linkin Park,In the End,216880,FALSE,2000,83,0.556,0.864,3
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,FALSE,2002,66,0.607,0.923,1
Aaliyah,Rock The Boat,275026,FALSE,2019,0,0.641,0.72,5
Holly Valance,Kiss Kiss,204400,FALSE,2002,54,0.705,0.717,4
Sugababes,Round Round,236426,FALSE,2002,59,0.74,0.845,6
Marilyn Manson,Tainted Love,200426,FALSE,2003,60,0.622,0.876,8
